video_file_name,frame_number,patch_name,connected_component_area,bounding_box_area,initial_plano_featues,initial_query_features,good_matches,very_good_matches,ratio
integrity,0
IBOT.MOV,2100,11,7406,20905,348,450,147,10,0.0680272
IBOT.MOV,2100,17,8626,22833,523,453,215,27,0.055814
IBOT.MOV,2100,59,5014,10961,93,0,,,0
IBOT.MOV,2100,122,859,1881,0,0,,,-1
IBOT.MOV,2100,131,719,2009,0,0,,,-1
integrity,0
IBOT.MOV,2200,9,8673,24249,465,533,186,2,0.0107527
IBOT.MOV,2200,13,8062,20961,514,362,193,23,0.0621762
IBOT.MOV,2200,63,909,2337,0,0,,,-1
IBOT.MOV,2200,67,715,1617,0,0,,,-1
IBOT.MOV,2200,68,6666,13545,124,0,,,0
IBOT.MOV,2200,126,1237,3185,0,0,,,-1
integrity,0
IBOT.MOV,2300,4,2141,5313,0,0,,,-1
IBOT.MOV,2300,5,1812,4753,0,0,,,-1
IBOT.MOV,2300,11,1003,2225,0,0,,,-1
IBOT.MOV,2300,23,6410,17545,425,326,184,8,0.0217391
IBOT.MOV,2300,28,1334,3321,0,0,,,-1
IBOT.MOV,2300,64,717,1625,0,0,,,-1
IBOT.MOV,2300,66,813,2337,0,0,,,-1
IBOT.MOV,2300,75,5533,10185,70,0,,,0
IBOT.MOV,2300,81,1052,2993,0,0,,,-1
IBOT.MOV,2300,86,1286,2793,0,0,,,-1
IBOT.MOV,2300,100,1522,4361,0,0,,,-1
IBOT.MOV,2300,111,904,1681,0,0,,,-1
IBOT.MOV,2300,125,2843,6825,0,0,,,-1
IBOT.MOV,2300,129,1379,2673,0,0,,,-1
integrity,0
integrity,-1
IBOT.MOV,2500,13,8586,20449,360,432,140,2,0.0142857
IBOT.MOV,2500,19,716,2009,0,0,,,-1
IBOT.MOV,2500,20,7731,19737,499,372,208,18,0.0336538
IBOT.MOV,2500,28,763,1617,0,0,,,-1
IBOT.MOV,2500,59,958,2793,0,0,,,-1
IBOT.MOV,2500,75,953,2409,0,0,,,-1
IBOT.MOV,2500,113,761,1225,0,0,,,-1
integrity,0
IBOT.MOV,2600,14,8437,20001,328,402,121,9,0.0743802
IBOT.MOV,2600,22,6929,18513,459,357,194,27,0.0773196
IBOT.MOV,2600,30,1001,2793,0,0,,,-1
IBOT.MOV,2600,137,1945,4617,0,0,,,-1
integrity,0
IBOT.MOV,2700,59,1237,3577,0,0,,,-1
IBOT.MOV,2700,103,762,1617,0,0,,,-1
integrity,1
IBOT.MOV,2800,10,8354,20905,343,422,144,14,0.0763889
IBOT.MOV,2800,17,8158,21801,529,409,214,28,0.0700935
IBOT.MOV,2800,53,907,2337,0,0,,,-1
IBOT.MOV,2800,55,1241,3577,0,0,,,-1
IBOT.MOV,2800,69,1002,2409,0,0,,,-1
IBOT.MOV,2800,84,953,2793,0,0,,,-1
integrity,0
IBOT.MOV,2900,5,715,1225,0,0,,,-1
IBOT.MOV,2900,17,8542,20905,343,429,139,5,0.0359712
IBOT.MOV,2900,27,8054,16577,400,286,180,3,0.0166667
IBOT.MOV,2900,55,1428,4161,0,0,,,-1
IBOT.MOV,2900,67,763,1881,0,0,,,-1
IBOT.MOV,2900,73,954,2337,0,0,,,-1
IBOT.MOV,2900,74,861,2337,0,0,,,-1
IBOT.MOV,2900,75,810,1881,0,0,,,-1
IBOT.MOV,2900,76,905,2145,0,0,,,-1
IBOT.MOV,2900,153,1756,3977,0,0,,,-1
integrity,0
IBOT.MOV,3000,12,7454,19481,461,379,193,20,0.0829016
IBOT.MOV,3000,47,953,2337,0,0,,,-1
IBOT.MOV,3000,50,763,1681,0,0,,,-1
integrity,0
IBOT.MOV,3100,16,8254,20449,389,475,163,2,0.0122699
IBOT.MOV,3100,53,1857,5073,0,0,,,-1
IBOT.MOV,3100,60,761,1353,0,0,,,-1
IBOT.MOV,3100,75,766,2145,0,0,,,-1
IBOT.MOV,3100,78,953,2401,0,0,,,-1
IBOT.MOV,3100,84,761,1225,0,0,,,-1
IBOT.MOV,3100,142,950,1681,0,0,,,-1
integrity,0
IBOT.MOV,3200,2,15600,36873,72,93,22,8,0.227273
IBOT.MOV,3200,5,907,2409,0,0,,,-1
IBOT.MOV,3200,19,8291,18193,310,405,144,1,0.00694444
IBOT.MOV,3200,21,7637,18705,473,326,186,11,0.0376344
IBOT.MOV,3200,26,717,2009,0,0,,,-1
IBOT.MOV,3200,41,2466,7081,0,0,,,-1
IBOT.MOV,3200,45,16181,37665,3,19,,,-1
IBOT.MOV,3200,58,1095,2665,0,0,,,-1
IBOT.MOV,3200,65,808,1225,0,0,,,-1
IBOT.MOV,3200,88,765,2145,0,0,,,-1
IBOT.MOV,3200,141,718,1881,0,0,,,-1
IBOT.MOV,3200,154,1522,3969,0,0,,,-1
IBOT.MOV,3200,169,1478,3465,0,0,,,-1
IBOT.MOV,3200,179,1046,2009,0,0,,,-1
integrity,0
IBOT.MOV,3300,90,713,1089,0,0,,,-1
IBOT.MOV,3300,122,809,1617,0,0,,,-1
IBOT.MOV,3300,141,1237,2993,0,0,,,-1
IBOT.MOV,3300,150,911,2673,0,0,,,-1
IBOT.MOV,3300,151,1147,3201,0,0,,,-1
integrity,1
IBOT.MOV,3400,16,9191,23153,456,540,181,2,0.0110497
IBOT.MOV,3400,20,8385,19737,499,357,214,24,0.0514019
IBOT.MOV,3400,68,1478,4161,0,0,,,-1
IBOT.MOV,3400,150,813,2145,0,0,,,-1
IBOT.MOV,3400,156,719,1881,0,0,,,-1
IBOT.MOV,3400,169,1048,2793,0,0,,,-1
IBOT.MOV,3400,181,1384,3465,0,0,,,-1
IBOT.MOV,3400,189,1333,3577,0,0,,,-1
integrity,0
IBOT.MOV,3500,21,718,1881,0,0,,,-1
IBOT.MOV,3500,22,8104,20449,360,436,131,4,0.0305344
IBOT.MOV,3500,24,6593,16577,387,309,169,4,0.0236686
IBOT.MOV,3500,28,1378,3185,0,0,,,-1
IBOT.MOV,3500,62,1046,2337,0,0,,,-1
IBOT.MOV,3500,75,717,1625,0,0,,,-1
IBOT.MOV,3500,85,1238,3321,0,0,,,-1
IBOT.MOV,3500,88,1094,2793,0,0,,,-1
IBOT.MOV,3500,105,764,2145,0,0,,,-1
IBOT.MOV,3500,125,717,1881,0,0,,,-1
IBOT.MOV,3500,137,859,2401,0,0,,,-1
IBOT.MOV,3500,167,1288,3649,0,0,,,-1
IBOT.MOV,3500,168,1667,4305,0,0,,,-1
integrity,0
IBOT.MOV,3600,10,8486,24633,427,534,171,6,0.0292398
IBOT.MOV,3600,12,8717,19481,461,380,192,25,0.078125
IBOT.MOV,3600,83,764,1617,0,0,,,-1
IBOT.MOV,3600,140,1238,2673,0,0,,,-1
integrity,0
IBOT.MOV,3700,12,8820,21417,365,444,147,8,0.0544218
IBOT.MOV,3700,20,7739,19737,499,359,206,22,0.0533981
IBOT.MOV,3700,58,955,2401,0,0,,,-1
IBOT.MOV,3700,66,1000,2009,0,0,,,-1
IBOT.MOV,3700,67,2237,5537,0,0,,,-1
IBOT.MOV,3700,68,810,2009,0,0,,,-1
IBOT.MOV,3700,87,766,1881,0,0,,,-1
IBOT.MOV,3700,152,765,2145,0,0,,,-1
IBOT.MOV,3700,158,1236,2665,0,0,,,-1
IBOT.MOV,3700,190,1762,4753,0,0,,,-1
integrity,0
IBOT.MOV,3800,2,1284,2225,0,0,,,-1
IBOT.MOV,3800,8,768,2025,0,0,,,-1
IBOT.MOV,3800,14,8725,20905,343,423,152,8,0.0526316
IBOT.MOV,3800,23,6881,18513,459,349,186,25,0.0645161
IBOT.MOV,3800,33,765,1617,0,0,,,-1
IBOT.MOV,3800,39,1234,2401,0,0,,,-1
IBOT.MOV,3800,65,811,1881,0,0,,,-1
IBOT.MOV,3800,93,1048,2337,0,0,,,-1
IBOT.MOV,3800,122,1238,3185,0,0,,,-1
IBOT.MOV,3800,148,904,1881,0,0,,,-1
IBOT.MOV,3800,150,1808,4617,0,0,,,-1
IBOT.MOV,3800,167,1479,3201,0,0,,,-1
IBOT.MOV,3800,182,1046,2337,0,0,,,-1
integrity,0
integrity,-1
integrity,-1
IBOT.MOV,4100,5,1476,3025,0,0,,,-1
IBOT.MOV,4100,8,1052,2825,0,0,,,-1
IBOT.MOV,4100,9,1049,2225,0,0,,,-1
IBOT.MOV,4100,14,9097,21809,353,429,145,5,0.0344828
IBOT.MOV,4100,21,5748,16577,387,289,157,7,0.0318471
IBOT.MOV,4100,62,858,1881,0,0,,,-1
IBOT.MOV,4100,70,4066,7857,34,0,,,0
IBOT.MOV,4100,75,1758,3969,0,0,,,-1
IBOT.MOV,4100,137,904,1617,0,0,,,-1
IBOT.MOV,4100,145,716,1617,0,0,,,-1
IBOT.MOV,4100,155,1048,2793,0,0,,,-1
IBOT.MOV,4100,177,5963,12921,0,21,,,-1
IBOT.MOV,4100,186,762,1681,0,0,,,-1
integrity,0
IBOT.MOV,4200,11,8344,20449,360,440,154,6,0.0324675
IBOT.MOV,4200,71,858,2337,0,0,,,-1
IBOT.MOV,4200,75,3414,7081,21,0,,,0
IBOT.MOV,4200,134,1095,2145,0,0,,,-1
IBOT.MOV,4200,140,1142,2665,0,0,,,-1
IBOT.MOV,4200,155,959,2673,0,0,,,-1
IBOT.MOV,4200,160,7427,17945,2,75,,,-1
integrity,0
IBOT.MOV,4300,37,1094,2793,0,0,,,-1
IBOT.MOV,4300,61,1238,3185,0,0,,,-1
IBOT.MOV,4300,67,4829,10449,47,2,32,,0
IBOT.MOV,4300,98,1092,2009,0,0,,,-1
IBOT.MOV,4300,147,952,1881,0,0,,,-1
IBOT.MOV,4300,170,719,1681,0,0,,,-1
IBOT.MOV,4300,182,8173,18721,3,77,,,-1
integrity,0
IBOT.MOV,4400,11,719,2025,0,0,,,-1
IBOT.MOV,4400,14,8062,17169,202,269,89,6,0.0561798
IBOT.MOV,4400,25,6737,18769,444,356,187,7,0.026738
IBOT.MOV,4400,52,2040,5073,0,0,,,-1
IBOT.MOV,4400,58,910,2425,0,0,,,-1
IBOT.MOV,4400,68,4921,10449,47,0,,,0
IBOT.MOV,4400,75,1141,2409,0,0,,,-1
IBOT.MOV,4400,156,810,1617,0,0,,,-1
IBOT.MOV,4400,158,1662,3577,0,0,,,-1
IBOT.MOV,4400,175,1523,4361,0,0,,,-1
IBOT.MOV,4400,181,7616,17945,2,74,,,-1
IBOT.MOV,4400,197,1238,3185,0,0,,,-1
integrity,0
IBOT.MOV,4500,73,4020,7857,34,0,,,0
IBOT.MOV,4500,137,715,1681,0,0,,,-1
IBOT.MOV,4500,154,1148,2937,0,0,,,-1
IBOT.MOV,4500,157,1286,3649,0,0,,,-1
IBOT.MOV,4500,161,7242,17945,2,81,,,-1
integrity,0
IBOT.MOV,4600,12,8627,21417,378,487,157,3,0.0191083
IBOT.MOV,4600,35,1000,2401,0,0,,,-1
IBOT.MOV,4600,58,5296,12513,94,1,0,,0
IBOT.MOV,4600,116,815,2337,0,0,,,-1
IBOT.MOV,4600,132,1904,5529,0,0,,,-1
IBOT.MOV,4600,183,7821,18721,3,75,,,-1
integrity,0
IBOT.MOV,4700,10,8151,16905,235,350,90,4,0.0444444
IBOT.MOV,4700,13,7693,19737,499,367,235,23,0.0468085
IBOT.MOV,4700,62,4121,9409,60,1,0,,0
IBOT.MOV,4700,78,1568,3185,0,0,,,-1
IBOT.MOV,4700,100,1429,3649,0,0,,,-1
IBOT.MOV,4700,107,1619,3465,0,0,,,-1
